model,signal,strategy,year,tax
equal_weight,none,calendar,2010,0.0035615838885696464
equal_weight,none,calendar,2011,0.009142480412487827
equal_weight,none,calendar,2012,0.007252798748823866
equal_weight,none,calendar,2013,0.010796267425036329
equal_weight,none,calendar,2014,0.00890511093551621
equal_weight,none,calendar,2015,0.012142733821776861
equal_weight,none,calendar,2016,0.00931485253903237
equal_weight,none,calendar,2017,0.007710852091750654
equal_weight,none,calendar,2018,0.012503583544710073
equal_weight,none,calendar,2019,0.015107608605372604
equal_weight,none,calendar,2020,0.02212290570844412
equal_weight,none,calendar,2021,0.022431813427015168
equal_weight,none,calendar,2022,0.02114180934198092
equal_weight,none,calendar,2023,0.010554796689170028
equal_weight,none,calendar,2024,0.018723426344320115
