Date,SPY,IWM,EFA,EEM,TLT,IEF,LQD,VNQ,GLD,XLP
2010-02-26,83.08477020263672,50.508888244628906,32.583438873291016,27.686603546142578,57.72996520996094,63.47886657714844,58.826454162597656,23.846616744995117,109.43000030517578,17.58203887939453
2010-03-31,88.1429214477539,54.66611099243164,34.66400909423828,29.932231903076172,56.542205810546875,62.808006286621094,59.20989227294922,26.27581024169922,108.94999694824219,18.244422912597656
2010-04-30,89.50651550292969,57.770294189453125,33.69184494018555,29.88249397277832,58.420448303222656,63.84607696533203,60.339534759521484,28.154579162597656,115.36000061035156,18.048458099365234
2010-05-31,82.39479064941406,53.416378021240234,29.9207820892334,27.07544708251953,61.404815673828125,65.71878051757812,59.55015182495117,26.652637481689453,118.87999725341797,17.21234130859375
2010-06-30,78.13162994384766,49.280113220214844,29.303829193115234,26.696758270263672,64.96492004394531,67.72207641601562,61.502525329589844,25.2634334564209,121.68000030517578,16.77662467956543
2010-07-30,83.46807098388672,52.59711456298828,32.70613479614258,29.615375518798828,64.35010528564453,68.33811950683594,62.80066680908203,27.687074661254883,115.48999786376953,17.75033187866211
2010-08-31,79.71361541748047,48.6818733215332,31.46493148803711,28.65681266784668,69.74971771240234,70.63151550292969,64.5938491821289,27.333852767944336,122.08000183105469,17.421369552612305
2010-09-30,86.85236358642578,54.7404899597168,34.602596282958984,32.026092529296875,67.99175262451172,70.62942504882812,64.8887939453125,28.55586814880371,127.91000366210938,18.473257064819336
2010-10-29,90.17029571533203,57.01121139526367,35.91940689086914,32.9918212890625,64.95301818847656,70.62435913085938,64.71826934814453,29.910192489624023,132.6199951171875,19.062969207763672
2010-11-30,90.17029571533203,58.998077392578125,34.18675994873047,32.03324890136719,63.855804443359375,69.99004364013672,63.67287826538086,29.35639762878418,135.4199981689453,18.76480484008789
2010-12-31,96.19840240478516,63.73759460449219,37.02702331542969,34.364566802978516,61.493717193603516,67.58876037597656,63.19402313232422,30.692310333251953,138.72000122070312,19.590377807617188
2011-01-31,98.43983459472656,63.50138473510742,37.802921295166016,33.044517517089844,59.598960876464844,67.5743408203125,63.21732711791992,31.690088272094727,129.8699951171875,19.302967071533203
2011-02-28,101.85935974121094,67.02063751220703,39.14485168457031,33.03009033203125,60.582515716552734,67.4335708618164,63.900108337402344,33.181190490722656,137.66000366210938,19.864412307739258
