date,RP CAL,RP THR,MKT HM CAL,MKT HM THR,MCVAR HM CAL,MCVAR HM THR,MKT CAPM CAL,MKT CAPM THR,MCVAR CAPM CAL,MCVAR CAPM THR,MKT FF3F CAL,MKT FF3F THR,MCVAR FF3F CAL,MCVAR FF3F THR,60/40 CAL,EW CAL
2016-05-31,1.584391,1.607518,1.623996,1.631004,1.565106,1.580539,1.732514,1.74714,1.58095,1.578785,1.483279,1.519042,1.542071,1.534259,2.008707,1.646292
2016-06-30,1.644748,1.666848,1.690362,1.697819,1.618739,1.634646,1.746388,1.759418,1.619029,1.61419,1.507004,1.539236,1.579823,1.571766,2.068602,1.706914
2016-07-29,1.682606,1.706942,1.714184,1.721746,1.639428,1.655153,1.812577,1.82681,1.649565,1.644547,1.540471,1.573299,1.604416,1.596092,2.131201,1.754583
2016-08-31,1.672311,1.696432,1.705497,1.71302,1.631463,1.647114,1.823168,1.83821,1.645495,1.641262,1.537808,1.572285,1.599329,1.591285,2.124077,1.743799
2016-09-30,1.671373,1.696466,1.693591,1.701231,1.621924,1.637483,1.831395,1.846116,1.647197,1.643432,1.535781,1.569593,1.598499,1.59074,2.111324,1.744926
2016-10-31,1.630562,1.654423,1.656519,1.661332,1.588796,1.604037,1.786864,1.801061,1.614612,1.61358,1.509783,1.544254,1.571093,1.565268,2.05235,1.699129
2016-11-30,1.586881,1.614296,1.606184,1.610633,1.545568,1.560394,1.843634,1.857464,1.595435,1.594261,1.499628,1.536374,1.537696,1.53528,2.030257,1.662921
2016-12-30,1.595188,1.632745,1.60502,1.607597,1.548932,1.563247,1.869338,1.885763,1.605959,1.609621,1.522228,1.5633,1.547512,1.549461,2.035778,1.676024
2017-01-31,1.621685,1.661459,1.621535,1.624139,1.560806,1.575863,1.903534,1.920777,1.620159,1.623658,1.564944,1.60562,1.563501,1.565252,2.064242,1.709723
2017-02-28,1.657452,1.699482,1.675846,1.678538,1.599254,1.614694,1.956583,1.975556,1.652281,1.65499,1.611529,1.653865,1.597801,1.598111,2.125981,1.750529
2017-03-31,1.66106,1.703106,1.672485,1.675319,1.59717,1.612944,1.971229,1.990835,1.657154,1.658167,1.631915,1.675238,1.605514,1.605693,2.121981,1.755628
2017-04-28,1.682941,1.725391,1.691162,1.694055,1.614813,1.630959,1.996997,2.01776,1.678155,1.679105,1.655024,1.698954,1.626227,1.626409,2.147964,1.77879
2017-05-31,1.703032,1.745311,1.715102,1.718036,1.633081,1.649301,2.01429,2.040033,1.695833,1.697992,1.685994,1.730746,1.649629,1.651669,2.182366,1.799548
2017-06-30,1.707317,1.750347,1.710214,1.71622,1.63228,1.650432,2.038184,2.059668,1.70285,1.704541,1.686458,1.734007,1.651232,1.652302,2.197622,1.8064
2017-07-31,1.73011,1.776031,1.725904,1.731856,1.646222,1.665371,2.075672,2.098285,1.721401,1.724042,1.719532,1.768133,1.670528,1.67272,2.218936,1.835475
2017-08-31,1.746938,1.793974,1.727072,1.733028,1.652105,1.671243,2.06985,2.093121,1.726829,1.73067,1.715107,1.763707,1.675673,1.677778,2.253045,1.853291
2017-09-29,1.750104,1.797403,1.735159,1.741143,1.658015,1.679203,2.134593,2.158357,1.743657,1.747484,1.745589,1.795052,1.687922,1.692972,2.259317,1.858125
2017-10-31,1.756378,1.806346,1.740666,1.74667,1.661148,1.682387,2.164967,2.189747,1.752976,1.756824,1.767417,1.817499,1.695385,1.700532,2.290863,1.866527
2017-11-30,1.780501,1.831531,1.776545,1.782672,1.685715,1.707268,2.222252,2.247452,1.782507,1.785985,1.815292,1.866731,1.724385,1.72962,2.339661,1.89494
2017-12-29,1.793652,1.855413,1.775436,1.780284,1.688744,1.710776,2.229085,2.258608,1.781116,1.792052,1.807688,1.858568,1.719037,1.726439,2.363836,1.912503
2018-01-31,1.813657,1.884351,1.820105,1.825052,1.709525,1.729306,2.327343,2.357264,1.809831,1.822228,1.889989,1.941458,1.748831,1.755751,2.412981,1.942123
2018-02-28,1.746595,1.811653,1.732583,1.737292,1.653769,1.672781,2.22557,2.255719,1.746894,1.758879,1.80206,1.8512,1.687678,1.696808,2.330886,1.860869
2018-03-30,1.758806,1.819376,1.71973,1.724404,1.651623,1.67061,2.20923,2.236159,1.749185,1.761186,1.781129,1.829568,1.687306,1.696607,2.319207,1.87268
2018-04-30,1.742585,1.802075,1.714061,1.71872,1.642752,1.66179,2.217751,2.24366,1.743781,1.753969,1.780844,1.825867,1.681468,1.688374,2.306965,1.855797
2018-05-31,1.762138,1.81832,1.764274,1.769069,1.673553,1.691609,2.267682,2.297944,1.773547,1.785794,1.815727,1.861484,1.709535,1.715391,2.35908,1.871559
2018-06-29,1.762764,1.816768,1.76525,1.770048,1.673798,1.690949,2.267346,2.303975,1.775162,1.787361,1.814725,1.860456,1.710556,1.716568,2.37331,1.872588
2018-07-31,1.780239,1.841239,1.79005,1.794915,1.691695,1.708913,2.33329,2.37027,1.801325,1.813135,1.868676,1.915767,1.73622,1.740218,2.412421,1.897706
2018-08-31,1.791585,1.853258,1.830526,1.835501,1.719587,1.737089,2.379535,2.417057,1.828014,1.838341,1.909012,1.957119,1.762576,1.765284,2.471225,1.906543
2018-09-28,1.776699,1.839698,1.813445,1.818374,1.705288,1.722645,2.369919,2.406591,1.81883,1.82904,1.902527,1.950471,1.753478,1.756058,2.451705,1.891458
2018-10-31,1.709392,1.76616,1.694397,1.699002,1.616048,1.632497,2.177909,2.206943,1.689045,1.698527,1.755283,1.800703,1.636767,1.639175,2.321273,1.8179
2018-11-30,1.736111,1.79595,1.724694,1.729381,1.637869,1.65454,2.221452,2.251085,1.707856,1.717443,1.792184,1.838631,1.655366,1.657802,2.363654,1.852408
2018-12-31,1.680225,1.743647,1.602122,1.606476,1.568339,1.584302,1.994803,2.023686,1.624691,1.631502,1.639353,1.676929,1.574148,1.583155,2.279165,1.782416
2019-01-31,1.764872,1.839094,1.710371,1.715019,1.634775,1.651414,2.181531,2.213419,1.699602,1.706788,1.77427,1.816876,1.646196,1.655794,2.391932,1.890299
2019-02-28,1.776209,1.856023,1.744277,1.749017,1.654549,1.668382,2.255569,2.288484,1.728525,1.730148,1.824714,1.868463,1.672669,1.677835,2.4252,1.907598
2019-03-29,1.812013,1.89152,1.75196,1.756721,1.679422,1.694635,2.263032,2.295454,1.754143,1.755468,1.841584,1.885573,1.70001,1.708029,2.505533,1.944502
2019-04-30,1.830241,1.915938,1.804118,1.809022,1.705183,1.720549,2.342053,2.375605,1.787471,1.79042,1.902617,1.948047,1.731196,1.739239,2.546948,1.969195
2019-05-31,1.815537,1.885295,1.694309,1.705172,1.675768,1.690869,2.186158,2.216668,1.736986,1.739673,1.788757,1.830522,1.690615,1.699507,2.519099,1.936083
2019-06-28,1.89523,1.970327,1.77758,1.789172,1.747005,1.762748,2.332257,2.364845,1.817456,1.820268,1.895546,1.939641,1.769565,1.778697,2.633681,2.025544
2019-07-31,1.899783,1.974812,1.784048,1.795681,1.756579,1.772408,2.346864,2.378951,1.826029,1.828854,1.902907,1.945105,1.777874,1.787049,2.660202,2.02994
2019-08-30,1.959423,2.037334,1.79519,1.806896,1.794972,1.810767,2.285263,2.312414,1.855425,1.857467,1.899047,1.940889,1.818838,1.826002,2.751033,2.071337
2019-09-30,1.958839,2.032863,1.791917,1.803602,1.789409,1.809005,2.331679,2.360095,1.858514,1.860573,1.914673,1.956859,1.821309,1.828381,2.753498,2.080575
2019-10-31,1.983594,2.056441,1.806878,1.818661,1.806004,1.825777,2.387923,2.418209,1.882745,1.884633,1.951576,1.994576,1.843975,1.851136,2.777695,2.112336
2019-11-29,1.989634,2.061069,1.82707,1.838984,1.824614,1.844591,2.45705,2.493031,1.906051,1.904495,1.974149,2.017646,1.858631,1.865849,2.833455,2.122782
2019-12-31,1.992157,2.067618,1.838898,1.849635,1.819501,1.840762,2.507667,2.552207,1.908002,1.911117,1.992154,2.032846,1.860912,1.862008,2.813661,2.149367
2020-01-31,2.028458,2.102853,1.891645,1.90269,1.866946,1.888761,2.463528,2.505389,1.932648,1.934869,2.032232,2.073742,1.900444,1.899518,2.899457,2.165511
2020-02-28,1.991058,2.063778,1.868569,1.879479,1.849552,1.865347,2.276798,2.309102,1.878431,1.884158,1.984848,2.016734,1.867755,1.860501,2.838484,2.0929
2020-03-31,1.881726,1.952382,1.818275,1.828892,1.799241,1.814371,1.97145,1.999176,1.792707,1.798043,1.934214,1.965011,1.810354,1.803134,2.698025,1.914492
2020-04-30,1.979051,2.058819,1.899983,1.911077,1.881966,1.897793,2.083944,2.113253,1.875003,1.880584,2.022875,2.055084,1.891492,1.883949,2.916465,2.046867
2020-05-29,2.01335,2.09425,1.92042,1.932299,1.906076,1.924718,2.143209,2.167533,1.910277,1.917512,2.044814,2.076954,1.915254,1.909311,2.979132,2.101604
2020-06-30,2.045521,2.129429,1.941199,1.952226,1.927198,1.946003,2.179594,2.201343,1.934689,1.941919,2.061978,2.092611,1.931915,1.926431,3.014752,2.149408
2020-07-31,2.134906,2.224666,2.040608,2.052039,2.022223,2.041934,2.268543,2.290879,2.003406,2.010894,2.165194,2.198601,2.024331,2.016487,3.17474,2.254148
2020-08-31,2.141105,2.233646,2.036442,2.050115,2.022658,2.042373,2.330061,2.332756,2.020811,2.028363,2.174941,2.20834,2.032914,2.028193,3.243585,2.292376
2020-09-30,2.116821,2.204789,2.003783,2.017406,1.993065,2.011761,2.28482,2.286931,1.997724,2.006887,2.144422,2.17823,2.007806,2.002959,3.180569,2.251244
2020-10-30,2.081345,2.1695,1.962607,1.975782,1.954087,1.972494,2.249862,2.253378,1.957785,1.969915,2.095589,2.129153,1.963516,1.959932,3.089851,2.219464
2020-11-30,2.175898,2.273034,1.995889,2.021517,1.993383,2.018544,2.417909,2.43672,2.043376,2.056032,2.173487,2.208329,2.03514,2.02526,3.312064,2.374545
2020-12-31,2.203243,2.289548,1.998675,2.029122,1.989641,2.016482,2.457186,2.463059,2.055142,2.065188,2.16673,2.206876,2.035509,2.034763,3.319012,2.434407
2021-01-29,2.169476,2.255627,1.957541,1.985745,1.949683,1.975985,2.434553,2.448639,2.020729,2.034816,2.122815,2.162014,1.994866,1.994135,3.250413,2.41363
2021-02-26,2.131841,2.21809,1.91223,1.939785,1.908168,1.93391,2.440837,2.454627,1.988324,2.005411,2.089501,2.128086,1.958192,1.957474,3.230061,2.407749
2021-03-31,2.126427,2.212968,1.893531,1.915143,1.89527,1.916232,2.483533,2.491064,1.990371,2.001256,2.06531,2.100662,1.942072,1.939871,3.250144,2.434443
2021-04-30,2.178138,2.26714,1.942161,1.964185,1.934358,1.955794,2.5459,2.553115,2.02747,2.038414,2.121797,2.158002,1.983753,1.984758,3.385604,2.505089
2021-05-31,2.211573,2.304302,1.965999,1.988293,1.959478,1.981314,2.578376,2.586393,2.052496,2.064501,2.147851,2.182726,2.010616,2.011229,3.398927,2.548542
2021-06-30,2.229436,2.317619,1.967397,1.989707,1.964261,1.986046,2.60346,2.606197,2.066322,2.077804,2.179105,2.214257,2.02829,2.028908,3.504734,2.565279
2021-07-30,2.264394,2.351612,2.013079,2.035907,2.006107,2.029538,2.621467,2.623742,2.095154,2.110398,2.23017,2.265669,2.070353,2.069294,3.608136,2.589409
2021-08-31,2.275578,2.364759,2.023466,2.046855,2.013755,2.037262,2.655837,2.657849,2.103499,2.11949,2.251583,2.287296,2.080389,2.079197,3.667632,2.615871
2021-09-30,2.209076,2.294361,1.963217,1.986733,1.95674,1.980881,2.569176,2.571475,2.046997,2.062406,2.176415,2.211851,2.01972,2.021714,3.522371,2.527608
2021-10-29,2.255486,2.34522,2.007626,2.033105,1.991959,2.019751,2.652396,2.656261,2.075672,2.09493,2.247416,2.284288,2.055257,2.063213,3.705354,2.603879
2021-11-30,2.245546,2.332201,2.017094,2.042628,1.998814,2.026822,2.607883,2.618086,2.063046,2.082208,2.244208,2.280897,2.052936,2.062014,3.728491,2.566966
2021-12-31,2.275701,2.384964,2.023495,2.045597,2.001404,2.032137,2.692058,2.699568,2.082534,2.10644,2.267755,2.302275,2.066857,2.088594,3.768015,2.630943
2022-01-31,2.19811,2.301837,1.950173,1.971421,1.932005,1.961775,2.566134,2.578752,2.011401,2.03449,2.171872,2.207658,1.994448,2.015342,3.589674,2.526518
2022-02-28,2.176318,2.282528,1.928369,1.949379,1.914073,1.943568,2.525125,2.537886,1.984488,2.007269,2.133559,2.168658,1.970779,1.991425,3.502629,2.494864
2022-03-31,2.14444,2.256675,1.922505,1.943452,1.894476,1.924476,2.53681,2.553526,1.947155,1.974694,2.15215,2.181214,1.942205,1.967594,3.505326,2.492248
2022-04-29,2.027612,2.13893,1.82801,1.847927,1.811452,1.840091,2.374022,2.401936,1.848359,1.86962,2.044207,2.069439,1.853622,1.869576,3.188455,2.353223
2022-05-31,2.011027,2.119053,1.77412,1.793449,1.781501,1.809666,2.367226,2.394779,1.844097,1.865196,2.016599,2.041117,1.845219,1.860881,3.164025,2.332513
2022-06-30,1.93915,2.043242,1.701971,1.720515,1.732022,1.765261,2.199364,2.224963,1.78812,1.810918,1.881567,1.904443,1.787937,1.807864,2.991313,2.221298
2022-07-29,2.005815,2.114509,1.742773,1.761761,1.782044,1.816161,2.381662,2.391155,1.841057,1.864568,2.015889,2.040398,1.840397,1.86096,3.185566,2.318204
2022-08-31,1.93175,2.03462,1.691504,1.709933,1.725285,1.758699,2.293482,2.30215,1.777243,1.801668,1.932328,1.955821,1.776927,1.796781,3.049469,2.231965
2022-09-30,1.791538,1.887706,1.564025,1.585395,1.617634,1.648983,2.065866,2.075432,1.656393,1.678978,1.740794,1.761959,1.654523,1.676776,2.779865,2.04778
2022-10-31,1.807482,1.908917,1.665602,1.680686,1.647762,1.679695,2.239945,2.250347,1.668932,1.691687,1.870487,1.893229,1.66671,1.689236,2.84909,2.100494
2022-11-30,1.933979,2.036134,1.762152,1.777958,1.738901,1.774724,2.338697,2.348708,1.765836,1.793795,2.000194,2.024513,1.769208,1.791297,3.025417,2.257265
2022-12-30,1.888639,1.992999,1.71234,1.727699,1.719347,1.754753,2.200859,2.210424,1.735886,1.763381,1.899453,1.922547,1.739554,1.761298,2.857877,2.174624
